"id","name","description","strategy_criteria","buy_entry","buy_exit","sell_entry","sell_exit","sl_criteria","trlg_criteria","trlg_option","active"
"1028","Price-Cr-Ema1450-SL-Ema1450","Price-Cr-Ema1450-SL-Ema1450","prev_ema1450","( curr_close > curr_ema1450 && prev_close < prev_ema1450 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema1450  ) ","( curr_close < curr_ema1450 && prev_close > prev_ema1450 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema1450  ) ","40","8","linear","0"
"1029","Price-Cr-Ema1500-SL-Ema1500","Price-Cr-Ema1500-SL-Ema1500","prev_ema1500","( curr_close > curr_ema1500 && prev_close < prev_ema1500 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg || curr_close < curr_ema1500  ) ","( curr_close < curr_ema1500 && prev_close > prev_ema1500 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg || curr_close > curr_ema1500  ) ","40","8","linear","0"
"1101","Price-Cr-Ema100-SL-NoTh","Price-Cr-Ema100-SL-NoTh","prev_ema100","( curr_close > curr_ema100 && prev_close < prev_ema100 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema100 && prev_close > prev_ema100 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1102","Price-Cr-Ema150-SL-NoTh","Price-Cr-Ema150-SL-NoTh","prev_ema150","( curr_close > curr_ema150 && prev_close < prev_ema150 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema150 && prev_close > prev_ema150 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1103","Price-Cr-Ema200-SL-NoTh","Price-Cr-Ema200-SL-NoTh","prev_ema200","( curr_close > curr_ema200 && prev_close < prev_ema200 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema200 && prev_close > prev_ema200 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1104","Price-Cr-Ema250-SL-NoTh","Price-Cr-Ema250-SL-NoTh","prev_ema250","( curr_close > curr_ema250 && prev_close < prev_ema250 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema250 && prev_close > prev_ema250 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1105","Price-Cr-Ema300-SL-NoTh","Price-Cr-Ema300-SL-NoTh","prev_ema300","( curr_close > curr_ema300 && prev_close < prev_ema300 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema300 && prev_close > prev_ema300 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1106","Price-Cr-Ema350-SL-NoTh","Price-Cr-Ema350-SL-NoTh","prev_ema350","( curr_close > curr_ema350 && prev_close < prev_ema350 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema350 && prev_close > prev_ema350 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1107","Price-Cr-Ema400-SL-NoTh","Price-Cr-Ema400-SL-NoTh","prev_ema400","( curr_close > curr_ema400 && prev_close < prev_ema400 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema400 && prev_close > prev_ema400 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
"1108","Price-Cr-Ema450-SL-NoTh","Price-Cr-Ema450-SL-NoTh","prev_ema450","( curr_close > curr_ema450 && prev_close < prev_ema450 ) ","( curr_close <  signal_sl || curr_close  < signal_trlg  ) ","( curr_close < curr_ema450 && prev_close > prev_ema450 ) ","( curr_close >  signal_sl || curr_close  > signal_trlg  ) ","40","8","linear","0"
